price,baseAssetAmount,direction,user,status,orderType,marketType,slot,orderId,userOrderId,marketIndex,baseAssetAmountFilled,quoteAssetAmountFilled,reduceOnly,triggerPrice,triggerCondition,existingPositionDirection,postOnly,immediateOrCancel,oraclePriceOffset,auctionDuration,auctionStartPrice,auctionEndPrice,maxTs,oraclePrice
1000.0,1.0,long,5SyESXTaLuf4UUxQ89gdFKc5nf4LhPkSRzPE2VjchVoE,open,limit,perp,168619165,2,0,2,0.0,0.0,False,0,above,long,True,False,0.0,10,0,0,0,1605.3
1128.0,0.01,long,Do6srDEZVY4rifUbTbQxxa8qAZg1sFVfG8Hk49hwR6ui,open,limit,perp,167379042,1,0,2,0.0,0.0,False,0,above,long,False,False,0.0,10,0,0,0,1605.3
1551.0,0.5,long,CrMW8n5YEBhMAMfYHu5xxSe4c7wQt6byBXse6y4STbYe,open,limit,perp,182253123,146,0,2,0.0,0.0,False,0,above,long,False,False,0.0,0,0,0,281474976710656,1605.3
1596.46,4.603,long,6xjDCa6fpehWBQzEdDQW3Gv1kum3VzVKzZpXG4AKckJK,open,limit,perp,182305804,510644,0,2,0.0,0.0,False,0,above,short,False,False,0.0,0,0,0,1678687061,1605.3
1600.02,4.603,long,6xjDCa6fpehWBQzEdDQW3Gv1kum3VzVKzZpXG4AKckJK,open,limit,perp,182305804,510642,0,2,0.0,0.0,False,0,above,short,False,False,0.0,0,0,0,1678687061,1605.3
1602.4,6.241,long,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,open,limit,perp,182305858,36371321,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686802,1605.3
1602.56,4.603,long,6xjDCa6fpehWBQzEdDQW3Gv1kum3VzVKzZpXG4AKckJK,open,limit,perp,182305804,510640,0,2,0.0,0.0,False,0,above,short,False,False,0.0,0,0,0,1678687061,1605.3
1603.2,3.12,long,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,open,limit,perp,182305858,36371319,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686802,1605.3
1603.952249,0.477,long,DuJRUX93NQ5DB14XkfB47pWKjVtfD4gCvYnHS2a9Diur,open,limit,perp,182305738,1672033,0,2,0.0,0.0,False,0,above,short,False,False,-1.347751,0,0,0,0,1605.3
1604.01017,0.477,long,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637076,0,2,0.0,0.0,False,0,above,short,False,False,-1.28983,0,0,0,0,1605.3
1604.08,2.092,long,6xjDCa6fpehWBQzEdDQW3Gv1kum3VzVKzZpXG4AKckJK,open,limit,perp,182305804,510638,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678687061,1605.3
1604.41,1.248,long,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,open,limit,perp,182305858,36371317,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686798,1605.3
1604.42492,5.589,long,DuJRUX93NQ5DB14XkfB47pWKjVtfD4gCvYnHS2a9Diur,open,limit,perp,182305738,1672031,0,2,0.0,0.0,False,0,above,short,True,False,-0.87508,0,0,0,0,1605.3
1604.436112,10.284,long,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637074,0,2,0.0,0.0,False,0,above,short,True,False,-0.863888,0,0,0,0,1605.3
1604.44328,3.726,long,DuJRUX93NQ5DB14XkfB47pWKjVtfD4gCvYnHS2a9Diur,open,limit,perp,182305738,1672030,0,2,0.0,0.0,False,0,above,short,True,False,-0.85672,0,0,0,0,1605.3
1604.46164,1.863,long,DuJRUX93NQ5DB14XkfB47pWKjVtfD4gCvYnHS2a9Diur,open,limit,perp,182305738,1672029,0,2,0.0,0.0,False,0,above,short,True,False,-0.83836,0,0,0,0,1605.3
1604.652084,7.713,long,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637073,0,2,0.0,0.0,False,0,above,short,True,False,-0.647916,0,0,0,0,1605.3
1604.868056,5.142,long,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637072,0,2,0.0,0.0,False,0,above,short,True,False,-0.431944,0,0,0,0,1605.3
1604.95814,2.571,long,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637071,0,2,0.0,0.0,False,0,above,short,True,False,-0.34186,0,0,0,0,1605.3
1605.13,0.312,long,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,open,limit,perp,182305858,36371315,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686796,1605.3
1605.312459,0.208,short,DuJRUX93NQ5DB14XkfB47pWKjVtfD4gCvYnHS2a9Diur,open,limit,perp,182305738,1672032,0,2,0.0,0.0,False,0,above,short,True,False,0.012459,0,0,0,0,1605.3
1605.369959,0.208,short,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637075,0,2,0.003,4.81584,False,0,above,short,True,False,0.069959,0,0,0,0,1605.3
1605.38,0.047,short,6xjDCa6fpehWBQzEdDQW3Gv1kum3VzVKzZpXG4AKckJK,open,limit,perp,182305804,510639,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686821,1605.3
1605.839048,4.049,short,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637077,0,2,0.0,0.0,False,0,above,short,True,False,0.539048,0,0,0,0,1605.3
1605.972762,2.618,short,DuJRUX93NQ5DB14XkfB47pWKjVtfD4gCvYnHS2a9Diur,open,limit,perp,182305738,1672034,0,2,0.0,0.0,False,0,above,short,True,False,0.672762,0,0,0,0,1605.3
1606.108572,6.073,short,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637078,0,2,0.0,0.0,False,0,above,short,True,False,0.808572,0,0,0,0,1605.3
1606.309143,3.928,short,DuJRUX93NQ5DB14XkfB47pWKjVtfD4gCvYnHS2a9Diur,open,limit,perp,182305738,1672035,0,2,0.0,0.0,False,0,above,short,True,False,1.009143,0,0,0,0,1605.3
1606.378096,8.098,short,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,182305764,1637079,0,2,0.0,0.0,False,0,above,short,True,False,1.078096,0,0,0,0,1605.3
1606.52,0.311,short,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,open,limit,perp,182305858,36371316,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686796,1605.3
1606.9,0.142,short,6xjDCa6fpehWBQzEdDQW3Gv1kum3VzVKzZpXG4AKckJK,open,limit,perp,182305804,510641,0,2,0.0,0.0,False,0,above,short,False,False,0.0,0,0,0,1678686881,1605.3
1607.24,1.245,short,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,open,limit,perp,182305858,36371318,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686798,1605.3
1608.0,0.142,short,6xjDCa6fpehWBQzEdDQW3Gv1kum3VzVKzZpXG4AKckJK,open,limit,perp,182305804,510643,0,2,0.0,0.0,False,0,above,short,False,False,0.0,0,0,0,1678686941,1605.3
1608.0,0.142,short,6xjDCa6fpehWBQzEdDQW3Gv1kum3VzVKzZpXG4AKckJK,open,limit,perp,182305804,510645,0,2,0.0,0.0,False,0,above,short,False,False,0.0,0,0,0,1678687001,1605.3
1608.45,3.114,short,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,open,limit,perp,182305858,36371320,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686802,1605.3
1609.25,2.378,short,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,open,limit,perp,182305858,36371322,0,2,0.0,0.0,False,0,above,short,True,False,0.0,0,0,0,1678686802,1605.3
1630.0,2.0,short,CBMA8DHcGRtntyvBf6DPWtsmTcSAzucgtzauiNCwQW5x,open,limit,perp,182295646,1110,0,2,0.0,0.0,True,0,above,long,False,False,0.0,0,0,0,0,1605.3
1638.0,0.152,short,569xVWPW5d5D1VqUtB5JSiV1tjjTvTBvM25njrRp2acE,open,limit,perp,182267186,67,0,2,0.0,0.0,False,0,above,long,False,False,0.0,0,0,0,0,1605.3
